id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
218,https,192.168.137.113,47402,120.221.12.30,443,6,0.168,1283,1243,131,0.0265,0.9862,7.9982
219,https,192.168.137.113,33658,119.75.222.91,443,6,0.894,400,360,66,0.4176,0.9434,7.9121
220,https,192.168.137.113,38120,112.54.108.104,443,6,0.554,778,738,453,0.2359,0.9915,7.9963
221,https,192.168.137.113,54912,117.185.17.52,443,6,0.875,403,363,16,0.0078,0.745,7.5081
222,https,192.168.137.113,49016,111.13.101.221,443,6,0.900,331,291,10,0.0012,0.9949,7.8464
223,https,192.168.137.113,48078,121.42.179.14,443,6,0.750,691,639,8,0.0027,0.8705,7.7294
224,https,192.168.137.113,56929,112.34.112.78,443,6,0.680,694,654,25,0.0117,0.9352,7.9044
225,https,192.168.137.113,40737,223.99.245.181,443,6,0.882,636,596,17,0.0292,0.9078,7.8312
226,https,192.168.137.113,46758,111.13.101.221,443,6,0.909,383,343,11,0.0043,0.9944,7.8909
227,https,192.168.137.113,44568,111.13.101.221,443,6,0.867,476,436,15,0.002,0.8347,7.616
228,https,192.168.137.113,54106,111.13.101.73,443,6,0.895,393,353,19,0.6384,0.8304,7.6047
229,https,192.168.137.113,34598,111.13.101.191,443,6,0.800,471,431,15,0.0072,0.9655,7.8458
230,https,192.168.137.113,48627,111.6.172.48,443,6,0.750,615,575,8,0.0065,0.7638,7.3342
231,https,192.168.137.113,59632,180.76.76.112,443,6,0.867,486,446,15,0.0306,0.8647,7.6965
232,https,192.168.137.113,60745,61.135.169.121,443,6,0.818,525,485,11,0.0061,0.973,7.8427
233,https,192.168.137.113,44782,119.75.222.188,443,6,0.765,580,540,17,0.148,0.8845,7.7798
234,https,192.168.137.113,34591,111.13.101.191,443,6,0.778,502,462,18,0.0081,0.971,7.8783
235,https,192.168.137.113,46983,111.6.172.48,443,6,0.778,561,521,9,0.0045,0.7648,7.326
236,https,192.168.137.113,52068,180.76.22.32,443,6,0.021,1359,1319,1699,0.2523,0.9998,7.9998
237,https,192.168.137.113,45283,119.75.222.189,443,6,1.000,814,774,21,0.1246,0.3333,7.8804
