id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon,label
318,https,192.168.137.113,50611,112.34.111.114,443,6,0.889,354,314,9,0.0034,0.929,7.5615,1
534,https,192.168.137.113,53801,111.6.172.48,443,6,0.016,1367,1327,580,1.0672,0.999,7.9995,1
32,https,192.168.137.113,34701,111.13.101.191,443,6,0.889,385,345,9,0.0243,0.9382,7.6179,2
343,https,192.168.137.113,38949,120.221.102.6,443,6,0.8,546,506,10,0.0987,0.8407,7.6034,1
66,https,192.168.137.113,54789,119.75.222.189,443,6,0.95,772,732,20,0.5322,0.2613,7.8537,0
375,https,192.168.137.113,34593,111.13.101.191,443,6,0.889,332,292,9,0.0053,0.9267,7.5121,0
586,https,192.168.137.113,45246,119.75.222.189,443,6,0.8640000000000001,744,704,22,0.4739,0.4399,7.875,1
215,https,192.168.137.113,41402,111.13.101.233,443,6,0.956,419,379,114,2.2612,0.9793,7.9406,2
107,https,192.168.137.113,44155,222.35.78.49,443,6,1.0,230,190,5,0.0016,0.8237,6.5182,2
277,https,192.168.137.113,54703,61.135.169.125,443,6,0.76,511,471,25,0.0887,0.9084,7.843,2
252,https,192.168.137.113,60721,119.75.222.188,443,6,1.0,71,31,1,0.0,1.0,4.051,0
159,https,192.168.137.113,34591,111.13.101.191,443,6,0.778,502,462,18,0.0081,0.971,7.8783,2
15,https,192.168.137.113,34739,111.13.101.191,443,6,0.778,577,537,18,0.0364,0.9752,7.9013,0
233,https,192.168.137.113,44782,119.75.222.188,443,6,0.765,580,540,17,0.14800000000000002,0.8845,7.7798,0
262,https,192.168.137.113,50840,112.34.111.114,443,6,0.9,367,327,10,0.2216,0.9429,7.6281,2
524,https,192.168.137.113,52405,111.13.101.221,443,6,0.9,312,272,10,0.0026,0.9934,7.8188,1
276,https,192.168.137.113,60648,61.135.169.121,443,6,0.742,725,685,31,0.2745,0.9483,7.9408,2
585,https,192.168.137.113,53166,111.13.101.221,443,6,1.0,300,260,10,0.0012,0.9908,7.8142,1
192,https,192.168.137.113,40239,119.75.222.188,443,6,0.407,1014,974,27,0.2609,0.9911,7.975,2
134,https,192.168.137.113,53052,111.13.101.221,443,6,0.684,652,612,19,0.0052,0.9967,7.9719,2
